id_avaliacao,filosofo,id_filosofo,materia,id_materia,classificacao,cor,justificativa
A16,Mario Bunge,F03,Criacionismo,M09,Pseudociência,Vermelho,"Tenta usar a linguagem do rigor metodológico para parecer ciência, mas sua visão de mundo (G) exige a admissão de causas imateriais e apelo à autoridade dogmática (5), não mudando através de investigação empírica real (1)."
A17,Mario Bunge,F03,Design Inteligente,M10,Pseudociência,Vermelho,"Ontologia imaterial disfarçada de ciência (5), sem metódica verificável ou poder preditivo (11), mantida por crentes para defender dogmas (2)."
A18,Mario Bunge,F03,Direito,M11,Não Ciência,Cinza,"Disciplina prática e normativa. Seu objetivo é aplicar regras à conduta humana, resolvendo problemas práticos, e não descobrir leis testáveis da natureza (A)."
A19,Mario Bunge,F03,Microeconomia,M12.1,Ciência,Verde,Pode ser considerada ciência fática por Bunge se formular hipóteses testáveis sobre comportamentos econômicos reais (D) com forte base formal-matemática (F).
A20,Mario Bunge,F03,Macroeconomia,M12.2,Ciência,Verde,"Assim como a microeconomia, atende aos critérios quando utiliza dados empíricos e modelos estatísticos rigorosos (M) para entender sistemas reais."
A21,Mario Bunge,F03,Economia aplicada,M12.3,Ciência,Verde,Utiliza os conhecimentos gerados para resolver problemas práticos e testar predições econômicas empíricas.
A22,Mario Bunge,F03,Engenharia de pesca,M13.1,Não Ciência,Cinza,"Na epistemologia de Bunge, engenharias são tecnologias e não ciências puras. Embora utilize os dados da biologia (B), seus objetivos (A) e problemáticas (P) são estritamente práticos (como extração e viabilidade comercial), e não a descoberta de leis primárias da natureza (10)."
A23,Mario Bunge,F03,Engenharia aeroespacial,M13.2,Não Ciência,Cinza,"Aplica intensamente a física e a matemática (B e F) como ferramentas, mas é uma disciplina de aplicação. O seu foco cognitivo é construir máquinas e resolver problemas práticos de transporte humano (8 e 10), e não formular novas leis físicas para o universo."
A24,Mario Bunge,F03,Esportes,M14,Não Ciência,Cinza,"Atividade prática focada no desempenho humano e entretenimento prático (10), sem o objetivo de construir corpos de conhecimento teórico sobre leis fáticas."
A25,Mario Bunge,F03,Filosofia - Estética,M15.1,Não Ciência,Cinza,"Estuda o juízo de valor e o belo, não lidando com um domínio material mutável (D) nem com testes laboratoriais (M)."
A26,Mario Bunge,F03,Filosofia - Ética,M15.2,Não Ciência,Cinza,"Disciplina normativa sobre o ""dever ser"", desprovida de domínio material (D) e baseada em sistemas de valores morais (G), não empíricos."
A27,Mario Bunge,F03,Filosofia - Metafísica,M15.3,Não Ciência,Cinza,"Investiga os princípios abstratos da realidade, admitindo conceitos que não dependem de observação empírica ou testabilidade de hipóteses (M)."
A28,Mario Bunge,F03,Filosofia - Epistemologia,M15.4,Não Ciência,Cinza,"Estuda o próprio fenômeno do conhecimento. Seu domínio (D) foca em abstrações e teorias, não em entidades físicas testáveis."
A29,Mario Bunge,F03,Filosofia - Lógica,M15.5,Não Ciência,Cinza,"Seu domínio lida apenas com ideias abstratas, servindo de base matemática para outras áreas (F), mas não analisando entidades reais e materiais."
A30,Mario Bunge,F03,Física,M18,Ciência,Verde,"O paradigma bungeano absoluto: domínio material exato (D), leis universais (A), modelos matemáticos (F) e testes empíricos rigorosos (M)."
A31,Mario Bunge,F03,Frenologia,M19,Pseudociência,Vermelho ,"Falsifica o rigor científico mantendo hipóteses falsas e intestáveis (9), ignorou o progresso empírico e foi totalmente superada e isolada pela neurociência (12)."
A32,Mario Bunge,F03,Geografia Física,M20.1,Ciência,Verde,Investiga as entidades terrestres concretas (D) articulando-se firmemente com outras áreas como biologia e geologia (B).
A33,Mario Bunge,F03,Geografia Humana,M20.2,Ciência,Verde,"Busca entender a relação humana com o espaço a partir de dados sociais reais empíricos, embora a metódica (M) varie em rigor."
A34,Mario Bunge,F03,Geotecnologias,M20.3,Não Ciência,Cinza,"Aplicação tecnológica focada em objetivos práticos (10) como mapeamento e sensoriamento, não é a pesquisa pura de leis naturais."
A35,Mario Bunge,F03,História,M21,Não Ciência,Cinza,"Pesquisa o passado humano de forma rigorosa, mas falha nos critérios de ciência factual natural de Bunge por não possuir uma base formal lógico-matemática profunda (F) e não ter o objetivo central de deduzir leis preditivas infalíveis e testáveis (A)."
A36,Mario Bunge,F03,Homeopatia,M22,Pseudociência,Vermelho ,"Totalmente isolada (12) da química real, seu conhecimento é estagnado e amparado em hipóteses refutadas e falsas sobre a matéria (9)."
A37,Mario Bunge,F03,Linguística Formal,M23,Ciência,Verde,"Possuem forte intersecção com outras ciências (B), como a neurociência e a ciência da computação, utilizam base formal matemático-lógica (F) e possuem métodos empíricos verificáveis (M)."
A38,Mario Bunge,F03,Literatura,M24,Não Ciência,Cinza,Expressão artística focada na imaginação humana. Não possui domínio factual testável nem metódica empírica de experimentação.
A39,Mario Bunge,F03,Marxismo,M25,Pseudociência,Vermelho ,"Bunge foi um notório crítico do marxismo (enquanto sistema ortodoxo), classificando-o como pseudociência. Para ele, a ontologia marxista tornou-se inflexível (1), defendendo dogmas em vez de submeter as suas hipóteses histórico-econômicas ao escrutínio imparcial e à refutação (11 e 5)."
A40,Mario Bunge,F03,Matemática,M26,Não Ciência,Cinza,"O seu domínio (D) é feito de ideias abstratas, não de matéria. É a base formal (F) da ciência fática, mas não requer experimentação empírica."
A41,Mario Bunge,F03,Medicina,M27,Não Ciência,Cinza,"Na epistemologia bungeana, é uma técnica. Foca em curar problemas práticos da vida (10) usando o conhecimento empírico de outras ciências, não em descobrir novas leis universais."
A42,Mario Bunge,F03,Psicologia,M28,Ciência,Verde,"Para Bunge (que defendia a psicobiologia), é ciência autêntica quando tem forte base empírica evolutiva e neurológica (B) e metódica rigorosa (M)."
A43,Mario Bunge,F03,Mitologia explicativa (Etiológica),M29,Não Ciência,Cinza,"Busca explicar a origem das coisas, mas seu domínio (D) lida fundamentalmente com o sobrenatural. Sua visão de mundo (G) apoia-se em narrativas e folclore, sem exigir qualquer metódica (M) de verificação empírica."
A44,Mario Bunge,F03,Mitologia Narrativa (Épica),M29,Não Ciência,Cinza,"É estruturalmente uma manifestação literária e cultural. Não possui a pretensão de ser um campo de pesquisa sobre a realidade factual, dispensando totalmente bases matemáticas (F) e métodos de teste (M)."
A45,Mario Bunge,F03,Neurociência,M30,Ciência,Verde,"Opera de forma interligada com a biologia estrutural (B), estudando o cérebro físico (D) através de metódica instrumental verificável (M)."
A46,Mario Bunge,F03,"Parapsicologia (Telepatia, Telecinese)",M31,Pseudociência,Vermelho,"Sua ontologia admite entidades imateriais (5), propõe hipóteses frequentemente intestáveis em laboratório (9) e isola-se das leis físicas conhecidas (12)."
A47,Mario Bunge,F03,Pedagogia,M32,Não Ciência,Cinza,"Voltada à resolução de problemas práticos educacionais (8), aplicando dados da psicologia em vez de formular leis físicas primárias."
A48,Mario Bunge,F03,Política,M33,Não Ciência,Cinza,"Tratada como a atividade humana em si, ela tem a problemática (P) focada exclusivamente em organizar a vida prática e os sistemas de valores morais (G), sem focar em objetivos cognitivos de descoberta empírica (10)."
A49,Mario Bunge,F03,Psicanálise,M34,Pseudociência,Vermelho,"Constantemente criticada por Bunge: falta base específica ligada à biologia (7), adota dogmas intestáveis (9) e isolou-se do avanço científico (12)."
A50,Mario Bunge,F03,Química Analítica ,M35,Ciência,Verde,"Cumpre todos os requisitos, usando um ferramental metódico e lógico rigoroso (M e F) para quantificar o domínio inteiramente real e material (D)."
A51,Mario Bunge,F03,Física - Química ,M35,Ciência,Verde,"Arquétipo bungeano ideal: foca puramente no material, buscando as leis fundamentais (A) com alto poder matemático (F) e métodos empíricos exatos."
A52,Mario Bunge,F03,Quiropraxia,M36,Pseudociência,Vermelho,"Inventou entidades não reais (como as subluxações vertebrais inatas) que cobrem seu domínio (4), estagnando diante da medicina baseada em evidências (9)."
A53,Mario Bunge,F03,Religião,M37,Não Ciência,Cinza,"O exemplo clássico de Bunge de um campo onde as mudanças ocorrem por controvérsia ou revelação, e não por pesquisa. Seu domínio (D) é imaterial e dogmático, sem qualquer interseção com campos de metódica empírica testável (M)."
A54,Mario Bunge,F03,Sociologia,M38,Ciência,Verde,"Reconhecida por Bunge como ciência fática desde que evite a pura hermenêutica subjetiva e utilize modelos sistêmicos estatísticos rigorosos (F, M)."
A55,Mario Bunge,F03,Teologia,M39,Não Ciência,Cinza,"Opera como Campo de Crença. Seu domínio é imaterial e dogmático, mudando por controvérsia interpretativa em vez de verificação laboratorial testável (M)."
A56,Mario Bunge,F03,Teoria das Cordas,M40,Pseudociência,Vermelho,"Bunge era um crítico feroz da teoria: embora tenha hipertrofia matemática (F), falha porque sua metódica empírica de teste (M) no mundo material é quase impossível."
A57,Mario Bunge,F03,Terraplanismo,M41,Pseudociência,Vermelho,"Apropria-se do jargão investigativo, mas sua comunidade age como crentes (2) protegendo dogmas. O fundo de conhecimento é estagnado e repleto de hipóteses flagrantemente falsas (9), e o campo é inteiramente isolado e refutado pela física e astronomia reais (12)."
A58,Mario Bunge,F03,Atomismo,M42,Ciência,Verde,"O atomismo grego antigo era Não Ciência (Filosofia especulativa sem metódica empírica). Já a Teoria Atômica Moderna é Ciência estrita, alicerce factual testável da química e física modernas."
A59,Mario Bunge,F03,Criticismo literário,M43,Não Ciência,Cinza,Prática puramente interpretativa focada na produção humana. Não usa métodos de verificação empírica para formular predições ou leis fáticas (M).
A60,Carl Hempel,F11,Acupuntura,M01,Pseudociência,Vermelho,"A hipótese (energia vital) falha no contexto de justificação clínica, recaindo no placebo e sofrendo refutação empírica."
A61,Carl Hempel,F11,Alquimia,M02,Pseudociência,Vermelho,"Formulou hipóteses (como a transmutação de chumbo em ouro) que geraram implicações de teste. No entanto, ao falhar repetidamente na experiência empírica, sofreu falseação, mas seus defensores ignoraram a refutação lógica."
A62,Carl Hempel,F11,Antropologia Biológica,M03.1,Ciência ,Verde,"Suas hipóteses sobre evolução e genética geram implicações de teste diretas no registro fóssil e no DNA, podendo ser corroboradas ou refutadas pela observação empírica."
A63,Carl Hempel,F11,Arqueologia,M03.2,Ciência ,Verde,Hipóteses sobre o passado produzem implicações verificáveis através de escavações e datações; a evidência material submete a teoria ao contexto de justificação.
A64,Carl Hempel,F11,Antropologia Cultural/Social,M03.3,Não Ciência,Cinza,"Trabalha com a interpretação de significados e redes simbólicas, não formulando hipóteses estritas que levem a previsões observáveis e falseáveis na natureza."
A65,Carl Hempel,F11,Antropologia Linguística,M03.4,Não Ciência,Cinza,"Foca no contexto e na construção social da língua, carecendo da formulação lógica H -> I exigida para refutação ou corroboração universal empírica."
A66,Carl Hempel,F11,Artes Visuais,M04.1,Não Ciência,Cinza,Não possui sistemas teóricos que formulem hipóteses ($H$) capazes de extrair predições empíricas ($I$) sobre o mundo físico.
A67,Carl Hempel,F11,Artes Cênicas,M04.2,Não Ciência,Cinza,"Disciplina expressiva. Lida com a experiência humana, sem gerar consequências observáveis que a natureza precise corroborar."
A68,Carl Hempel,F11,Artes Musicais,M04.3,Não Ciência,Cinza,A prática musical não estrutura um conjunto de implicações de teste para refutação ou corroboração em laboratório.
A69,Carl Hempel,F11,Artes Aplicadas e Design,M04.4,Não Ciência,Cinza,"Campo prático focado na utilidade visual e funcional, sem o objetivo cognitivo de justificar empiricamente leis universais."
A70,Carl Hempel,F11,Astrologia,M05,Pseudociência,Vermelho,"Suas predições astrológicas (implicações de teste) falham repetidamente quando observadas na realidade, resultando em falseação lógica."
A71,Carl Hempel,F11,Astronomia,M06,Ciência ,Verde,Suas hipóteses astrofísicas geram implicações de teste altamente precisas (como a posição exata de um planeta) que são rigorosamente corroboradas por telescópios.
A72,Carl Hempel,F11,Ecologia,M07.1,Ciência,Verde,"Extrai implicações de teste claras a partir de modelos de interação ambiental; se as dinâmicas populacionais previstas não ocorrem na observação, a hipótese sofre falseação lógica."
A73,Carl Hempel,F11,Biologia Molecular,M07.2,Ciência,Verde,"Suas teorias genéticas derivam implicações preditivas exatas, frequentemente corroboradas pelo alto grau de confirmação nos testes laboratoriais."
A74,Carl Hempel,F11,Biorritmos,M08,Pseudociência,Vermelho,"Formula uma relação de H -> I (ex: ""hoje você terá baixa intelectual baseada no seu nascimento""), mas quando a implicação não ocorre na experiência, a hipótese sofre refutação empírica fatal, perdendo o status de validade."
A75,Carl Hempel,F11,Criacionismo,M09,Pseudociência,Vermelho,"Quando tenta formular implicações empíricas (ex: Terra jovem), a observação geológica impõe refutação física imediata."
A76,Carl Hempel,F11,Design Inteligente,M10,Pseudociência,Vermelho,Seu núcleo (um criador) é inobservável e incapaz de gerar implicações de teste específicas ($I$) que possam ser falsificadas ou corroboradas empiricamente.
A77,Carl Hempel,F11,Direito,M11,Não Ciência,Cinza,"Normas jurídicas não são hipóteses sobre fenômenos naturais que necessitam de corroboração empírica; descrevem prescrições sociais, não fatos observáveis."
A78,Carl Hempel,F11,Microeconomia,M12.1,Ciência ,Verde,"Formula hipóteses sobre agentes econômicos que geram implicações preditivas (ex: se o preço sobe, a demanda cai) corroboráveis por dados estatísticos."
A79,Carl Hempel,F11,Macroeconomia,M12.2,Ciência,Verde,Extrai implicações de teste sobre agregados como inflação e desemprego que podem ser validadas ou refutadas pela observação do mercado.
A80,Carl Hempel,F11,Economia aplicada,M12.3,Ciência,Verde,Utiliza hipóteses corroboradas para prever os resultados de políticas públicas na experiência empírica.
A81,Carl Hempel,F11,Engenharia de pesca,M13.1,Ciência,Verde,Seus modelos biológicos geram implicações preditivas que são constantemente corroboradas pela viabilidade prática.
A82,Carl Hempel,F11,Engenharia aeroespacial,M13.2,Ciência,Verde,Teorias físicas produzem testes empíricos rigorosos. Um lançamento bem-sucedido é a corroboração definitiva da hipótese.
A83,Carl Hempel,F11,Esportes,M14,Não Ciência,Cinza,"Atividade física e prática de rendimento, desprovida de um sistema teórico focado em extrair deduções lógicas e empíricas."
A84,Carl Hempel,F11,Filosofia - Estética,M15.1,Não Ciência,Cinza,O juízo sobre o belo e a arte não possui significado empírico; é incapaz de gerar consequências observáveis que a natureza possa refutar.
A85,Carl Hempel,F11,Filosofia - Ética,M15.2,Não Ciência,Cinza,"O estudo do ""dever ser"" não extrai implicações de teste factuais; um sistema moral não pode ser corroborado ou refutado pela experiência física."
A86,Carl Hempel,F11,Filosofia - Metafísica,M15.3,Não Ciência,Cinza,"Suas proposições sobre as causas primeiras operam além dos fatos observáveis, não produzindo nenhuma implicação de teste para o contexto de justificação."
A87,Carl Hempel,F11,Filosofia - Epistemologia,M15.4,Não Ciência,Cinza,"Como estuda as bases do próprio saber, suas proposições lógicas e conceituais não dependem de observação empírica para corroboração material."
A88,Carl Hempel,F11,Filosofia - Lógica,M15.5,Não Ciência,Cinza,Suas verdades são analíticas e independentes da experiência. Não produz implicações (I) que precisem ser testadas no mundo físico para evitar refutação.
A89,Carl Hempel,F11,Física,M18,Ciência,Verde,O padrão-ouro de Hempel. Todas as suas hipóteses estruturam implicações lógicas diretas verificadas materialmente no contexto de justificação.
A90,Carl Hempel,F11,Frenologia,M19,Pseudociência,Vermelho,"Tentou estabelecer a relação preditiva de que formatos cranianos implicavam em traços de personalidade, mas falhou repetidamente no contexto de justificação, sofrendo falseação empírica definitiva."
A91,Carl Hempel,F11,Geografia Física,M20.1,Ciência,Verde,"Hipóteses sobre clima e relevo levam a previsões empíricas observáveis, ganhando apoio material na observação de campo."
A92,Carl Hempel,F11,Geografia Humana,M20.2,Ciência,Verde,"Quando adota métodos estatísticos, elabora hipóteses demográficas cujas implicações de teste são verificáveis na dinâmica populacional."
A93,Carl Hempel,F11,Geotecnologias,M20.3,Ciência,Verde,Os algoritmos de sensoriamento geram dados cujas implicações físicas são prontamente corroboradas pela observação satelital.
A94,Carl Hempel,F11,História,M21,Não Ciência,Cinza,"Como foca em reconstruir o passado, não formula deduções e previsões empíricas para o futuro que exijam corroboração física."
A95,Carl Hempel,F11,Homeopatia,M22,Pseudociência,Vermelho,"Gera uma implicação de teste clínica clara (a cura pelo semelhante diluído). Quando submetida à experiência controlada, a implicação falha (não supera o placebo), resultando em refutação empírica sumária."
A96,Carl Hempel,F11,Linguística Formal,M23,Ciência,Verde,"Formulam hipóteses (ex: rastrear o movimento dos olhos ou o tempo de reação do cérebro a uma anomalia gramatical) que geram implicações de teste (I) diretas no laboratório, podendo sofrer falseação empírica."
A97,Carl Hempel,F11,Literatura,M24,Não Ciência,Cinza,Seus textos não adquirem significância científica pois não levam a previsões empíricas ou implicações fáticas observáveis.
A98,Carl Hempel,F11,Marxismo,M25,Pseudociência,Vermelho,"Como modelo preditivo puro, elaborou previsões histórico-econômicas que não se confirmaram na experiência empírica, sofrendo falseação."
A99,Carl Hempel,F11,Matemática,M26,Não Ciência,Cinza,Suas proposições são analíticas e lógicas a priori. Não necessitam de implicações de teste ($I$) na experiência física para provar validade.
A100,Carl Hempel,F11,Medicina,M27,Ciência,Verde,"A eficácia de um tratamento (H) leva a uma previsão de cura (I). Se os ensaios clínicos (experiência empírica) não observam a cura, a hipótese do tratamento é refutada logicamente."
A101,Carl Hempel,F11,Psicologia,M28,Ciência,Verde,Formula hipóteses cognitivas e comportamentais que produzem implicações de teste passíveis de corroboração em estudos controlados.
A102,Carl Hempel,F11,Mitologia explicativa (Etiológica),M29,Não Ciência,Cinza,Explicações baseadas no sobrenatural são incapazes de gerar consequências físicas testáveis para refutação.
A103,Carl Hempel,F11,Mitologia Narrativa (Épica),M29,Não Ciência,Cinza,"Por ser estruturalmente literatura, carece de significado empírico ou hipóteses factuais passíveis de teste."
A104,Carl Hempel,F11,Neurociência,M30,Ciência,Verde,"Hipóteses sobre o funcionamento sináptico geram predições físicas restritas, altamente corroboradas por exames de imagem e medições empíricas."
A105,Carl Hempel,F11,"Parapsicologia (Telepatia, Telecinese)",M31,Pseudociência,Vermelho,"Suas alegações falham em produzir implicações de teste consistentes. Quando submetida a observações controladas, não ocorre corroboração, resultando em refutação empírica de seus supostos fenômenos."
A106,Carl Hempel,F11,Pedagogia,M32,Não Ciência,Cinza,"Por ser majoritariamente prescritiva e prática (como ensinar melhor), não formula modelos universais voltados a justificação física e empírica."
A107,Carl Hempel,F11,Política,M33,Não Ciência,Cinza,"É uma área normativa e social, incapaz de gerar previsões físicas que precisem de corroboração empírica da natureza."
A108,Carl Hempel,F11,Psicanálise,M34,Pseudociência,Vermelho,Falha no critério porque suas hipóteses (como desejos inconscientes reprimidos) são formuladas de maneira a não gerar nenhuma implicação de teste ($I$) observável que possa resultar em sua refutação material.
A109,Carl Hempel,F11,Química Analítica ,M35,Ciência,Verde,"É o próprio contexto de justificação em ação: reações químicas (H) geram medidas precisas (I) que são testadas ininterruptamente, recebendo alto grau de confirmação material."
A110,Carl Hempel,F11,Física - Química ,M35,Ciência,Verde,"Formula sistemas teóricos termodinâmicos e quânticos rigorosos, extraindo implicações de teste altamente específicas que podem ser verificadas empiricamente nos laboratórios."
A111,Carl Hempel,F11,Quiropraxia,M36,Pseudociência,Vermelho,A hipótese de que luxações umbilicais invisíveis causam doenças sistêmicas não encontra corroboração quando suas implicações clínicas são submetidas a testes rigorosos de justificação.
A112,Carl Hempel,F11,Religião,M37,Não Ciência,Cinza,"Suas crenças transcendentes não produzem hipóteses observáveis, mantendo-se imunes a qualquer refutação ou corroboração material."
A113,Carl Hempel,F11,Sociologia,M38,Ciência,Verde,Produz hipóteses societais amplas que extraem implicações passíveis de teste empírico e validação estatística na realidade observável.
A114,Carl Hempel,F11,Teologia,M39,Não Ciência,Cinza,O divino não extrai implicações de teste sobre fatos observáveis; o sistema de crenças não possui significado empírico e é imune a processos físicos de falseação.
A115,Carl Hempel,F11,Teoria das Cordas,M40,Não Ciência,Cinza,"Como as suas equações lidam com escalas subatômicas inalcançáveis, a teoria atualmente é incapaz de gerar implicações de teste observáveis. Sem relação lógica com a experiência, carece (por enquanto) de significado empírico verificável."
A116,Carl Hempel,F11,Terraplanismo,M41,Pseudociência,Vermelho,"A implicação de teste física gerada por sua hipótese falha violentamente diante da observação real, sofrendo falseação definitiva."
A117,Carl Hempel,F11,Atomismo,M42,Ciência,Verde,"A teoria atômica moderna formulou hipóteses ($H$) que deduziram reações químicas rigorosas ($I$), ganhando absoluto apoio empírico e sendo corroborada ininterruptamente. (Nota: O atomismo grego antigo era não-ciência por ser apenas especulação sem metódica de teste)."
A118,Carl Hempel,F11,Criticismo literário,M43,Não Ciência,Cinza,É incapaz de ser justificado empiricamente. Suas análises da literatura não geram previsões factuais suscetíveis a refutação ou corroboração pela natureza.
A119,Imre Lakatos,F15,Acupuntura,M01,Pseudociência,Vermelho,"Programa degenerativo. Cria hipóteses ad hoc (ex: ""estresse bloqueou o Qi"") apenas para justificar falhas clínicas, sem prever fatos fisiológicos novos."
A120,Imre Lakatos,F15,Alquimia,M02,Pseudociência,Vermelho,"Programa degenerativo histórico. Suas falhas constantes em transmutar metais geravam apenas hipóteses ad hoc ilusórias, estagnando sem prever propriedades químicas novas."
A121,Imre Lakatos,F15,Antropologia Biológica,M03.1,Ciência,Verde,Programa progressivo; seu núcleo rígido (teoria evolutiva) é defendido por um cinturão de hipóteses auxiliares genéticas que antecipam e descobrem novos fatos no registro fóssil e molecular.
A122,Imre Lakatos,F15,Arqueologia,M03.2,Ciência,Verde,"Programa progressivo, cujo núcleo materialista resolve anomalias ajustando métodos de datação (cinturão protetor), resultando em novas previsões e descobertas sobre sociedades passadas"
A123,Imre Lakatos,F15,Antropologia Cultural/Social,M03.3,Não Ciência,Cinza,"Carece de um núcleo rígido definido que tente fazer previsões empíricas sobre a natureza, dedicando-se inteiramente à interpretação de significados."
A124,Imre Lakatos,F15,Antropologia Linguística,M03.4,Não Ciência,Cinza,Seu foco na construção do sentido social dispensa um núcleo focado em prever ou descobrir fatos novos do mundo físico.
A125,Imre Lakatos,F15,Artes Visuais,M04.1,Não Ciência,Cinza,Prática estética e expressiva. Não possui um núcleo rígido teórico que busque antecipar e testar fenômenos materiais empíricos.
A126,Imre Lakatos,F15,Artes Cênicas,M04.2,Não Ciência,Cinza,Focada na performance humana; opera sem um programa de pesquisa empírico ou cinturão de hipóteses protetoras.
A127,Imre Lakatos,F15,Artes Musicais,M04.3,Não Ciência,Cinza,Expressão cultural e acústica prática. Não tem o propósito de formular previsões científicas fáticas.
A128,Imre Lakatos,F15,Artes Aplicadas e Design,M04.4,Não Ciência,Cinza,Prática voltada à utilidade e estética de objetos. Carece de um núcleo desenhado para descobrir novos fatos da natureza.
A129,Imre Lakatos,F15,Astrologia,M05,Pseudociência,Vermelho,"Programa degenerativo. Altera seu cinturão protetor de forma ad hoc para tentar explicar previsões que falharam no passado, mas é incapaz de antecipar eventos reais novos."
A130,Imre Lakatos,F15,Astronomia,M06,Ciência,Verde,O ápice do programa progressivo. Anomalias gravitacionais (ex: órbita de Urano) forçam mudanças no cinturão protetor que resultam na predição e descoberta de fatos inéditos (ex: existência de Netuno).
A131,Imre Lakatos,F15,Ecologia,M07.1,Ciência,Verde,"Programa altamente progressivo. Ajusta suas hipóteses auxiliares (modelos populacionais) não apenas para explicar o passado, mas para prever o impacto de mudanças ambientais inéditas."
A132,Imre Lakatos,F15,Biologia Molecular,M07.2,Ciência,Verde,"Apresenta progresso evidente; seu núcleo genético incorpora novas técnicas (como a edição CRISPR) no cinturão protetor, o que aumenta seu poder de prever fatos biológicos novos."
A133,Imre Lakatos,F15,Biorritmos,M08,Pseudociência,Vermelho,"Programa degenerativo. Seu núcleo rígido falha constantemente e, para se proteger, cria desculpas (hipóteses auxiliares ad hoc), estagnando sem jamais prever fatos reais novos."
A134,Imre Lakatos,F15,Criacionismo,M09,Pseudociência,Vermelho,"Programa degenerativo. Sempre que a geologia o contradiz, inventa hipóteses (ex: ""fósseis foram postos para testar a fé"") só para blindar o núcleo rígido, não gerando descobertas."
A135,Imre Lakatos,F15,Design Inteligente,M10,Pseudociência,Vermelho,"Altamente degenerativo. Seu núcleo dogmático não gera previsões biológicas novas, apenas ataca falhas pontuais da evolução para justificar retroativamente a necessidade de um ""criador""."
A136,Imre Lakatos,F15,Direito,M11,Não Ciência,Cinza,"Sistema normativo focado em regulação social, desprovido de um programa de pesquisa estruturado para previsões empíricas."
A137,Imre Lakatos,F15,Microeconomia,M12.1,Ciência,Verde,Programa progressivo quando ajusta seus modelos matemáticos (cinturão protetor) para prever com sucesso novos comportamentos de consumo e flutuações de preços locais.
A138,Imre Lakatos,F15,Macroeconomia,M12.2,Ciência,Verde,"Funciona como programa progressivo ao adaptar teorias para antecipar desdobramentos inéditos de ciclos econômicos, embora enfrente períodos de estagnação preditiva em crises."
A139,Imre Lakatos,F15,Economia aplicada,M12.3,Ciência,Verde,Utiliza os programas de pesquisa econômicos vigentes para tentar antecipar faticamente o resultado de políticas reais.
A140,Imre Lakatos,F15,Engenharia de pesca,M13.1,Ciência,Verde,Programa progressivo. Adapta suas teorias biológicas e materiais (cinturão protetor) para resolver anomalias e prever a dinâmica populacional em ambientes inéditos.
