id_filosofo,nome,definicao_de_ciencia,resumo,fonte,biografia,responsavel,possui_criterio_demarcacao
F11,Carl Hempel,"Para Hempel, a demarcação do conhecimento científico depende de sua capacidade de ser submetido ao ""contexto de justificação"", que remete ao plano empírico e aos fatos observáveis.

Uma área é considerada científica se o seu sistema teórico for capaz de extrair implicações de teste. Uma hipótese H só adquire significância científica se levar a uma previsão empírica I, estabelecendo a relação lógica H -> I. A partir da observação, define-se o status da hipótese através de dois critérios:

Refutação: Se a implicação prevista não ocorre na experiência empírica, a hipótese sofre falseação lógica.

Corroboração: Se a implicação de teste se mostra verdadeira, a hipótese ganha apoio empírico e é considerada ""confirmada"" ou ""corroborada"", embora nunca seja provada com certeza absoluta devido à falácia da afirmação do consequente. O grau de confirmação da teoria científica aumenta se várias implicações de teste distintas se verificarem na realidade.

Não Ciência: Se um sistema de crenças não produz nenhuma implicação de teste que possa ser verificada com a experiência, ele é incapaz de ser justificado empiricamente. Sem a capacidade de gerar consequências observáveis que possam resultar em refutação empírica ou corroboração, o campo não possui significado empírico e não pertence ao domínio científico.","Para Hempel, o que diferencia ciência de não ciência é o fato da testabilidade das hipóteses de seu sistema teórico. 

Essa testabilidade é feita levando em consideração dois fatores: a refutação e corroboração. Após essa observação a a hipótese pode ser falseada ou confirmada. O grau de confirmação da teoria científica aumenta se várias implicações de teste distintas se verificarem. Quanto maior o grau de confirmação, mais aceito é o sistema.

Se um sistema não produz implicação de teste que possa ser testada com a experiência, ele é incapaz de ser justificado empiricamente e, portanto, não pertence ao domínio da ciência.",Filosofia da Ciência Natural,"Carl Hempel foi um filósofo germano-estadunidense nascido em 1905 e estudou na Universidade de Berlim. Ele destacou-se por suas contribuições fundamentais à filosofia da ciência, ao empirismo lógico e ao modelo dedutivo-nomológico de explicação científica, falecendo em 1997.",felipe,sim
F12,Reuben Hersh,"Para Hersh, disciplinas formais como a matemática não são verdades a priori ou absolutas, mas sim práticas falíveis e construções histórico-sociais validadas pelo consenso da comunidade acadêmica.","Para Hersch, a divisão entre matemática e não-matemática está na precisão e reprodutibilidade das suas estruturas mentais compartilhadas por uma comunidade.","HERSH, Reuben. What is mathematics, really? New York: Oxford University Press, 1997.","Reuben Hersh foi um matemático e filósofo estadunidense nascido em 1927, e obteve seu doutorado pelo Courant Institute da Universidade de Nova York. Ele se destacou por sua visão humanista, argumentando que a matemática é um produto sociocultural humano, e faleceu no ano de 2020.",mariana,nao
F13,Hilton Japiassu,"Para Japiassu, a ciência carece de demarcação essencial pura porque o mito da neutralidade metodológica é falso; a investigação é uma construção histórico-social intrinsecamente condicionada por ideologias.",,"JAPIASSU, Hilton. O mito da neutralidade científica. Rio de Janeiro: Imago, 1975. JAPIASSU, Hilton. Introdução ao pensamento epistemológico. Rio de Janeiro: Francisco Alves, 1977.","O intelectual brasileiro Hilton Japiassu (1934–2015) realizou sua formação acadêmica na Universidade de Toulouse, na França. Ao longo de sua trajetória, formulou uma vigorosa crítica ao mito da neutralidade metodológica, consolidando importantes contribuições para a epistemologia e a história das ciências no Brasil.",allan,nao
F14,Thomas Kuhn,"O critério de demarcação de Kuhn baseia-se na capacidade de uma comunidade de se engajar na resolução de quebra-cabeças trabalhando dentro de um paradigma vigente na área que está sendo tratada, então o problema de demarcação para Kuhn, ciência é tudo aquilo que busca desenvolvimento na sua propria area.",A existência de problemas e uma comunidade engajada em resolver esses problemas é o que define uma ciência.,"KUHN, Thomas S. The structure of scientific revolutions. Chicago: University of Chicago Press, 1962.","Nasceu em 18 de Julho de 1922 em Ohio, EUA. Morreu em 17 de Junho de 1996 aos 73 anos em Massachusetts, EUA.",anizio,sim
F15,Imre Lakatos,"Para abordar o problema da demarcação, Lakatos propôs os Programas de Pesquisa, estrutura que se baseia em um ""Núcleo Rígido"", que é constituído por pressupostos teóricos que não podem ser abandonados ou alterados sem que abandonemos o programa principal. 
Teorias específicas que auxiliam na explicação de evidências que ameaçam o ""Núcleo Rígido"" são denominadas de ""Hipóteses Auxiliares"". Essas hipóteses podem ser abandonadas ou alteradas conforme novas descobertas, a fim de proteger o ""Núcleo Rígido"".  Além disso, o conjunto dessas hipóteses é denominado como ""Cinturão Protetor"" do Núcleo Rígido.
A partir disso, Lakatos discute a demarcação entre ciência e pseudociência classificando os programas de pesquisa em:

- Progressivos (Ciência): Quando alterações nas hipóteses auxiliares resolvem problemas e aumentam o poder do programa ao prever fatos novos e desconhecidos.

- Degenerativos (Pseudociência):  Quando alterações nas hipóteses surgem apenas como uma resposta a uma nova problemática para proteger o núcleo de falhas passadas, sem conseguir prever nenhum fato novo.

Por outro lado, programas que não possuem um núcleo rígido definido e não tentam fazer previsões empíricas são caracterizados como não ciência.","Lakatos define Programas de Pesquisa: Estruturas compostas por um Núcleo Rígido (Pressupostos teóricos imutáveis) e um Cinturão Protetor (Hipóteses Adicionais), podendo ser um Programa Progressivo, quando as hipóteses adicionais levam a novas descobertas (Ciência) ou Programa Degenerativo, quando hipóteses adicionais apenas protegem o núcleo de falhas (Pseudociência). Se um programa não possui sequer um Núcleo Rígido, ele é caracterizado como Não Ciência.","[Criticism and the growth of knowledge, 1970] e [Wikipedia: Imre Lakatos]","Imre Lakatos foi um filósofo húngaro nascido em 1922 e estudou na Universidade de Debrecen e na Universidade de Cambridge. Ele destacou-se por suas contribuições fundamentais à filosofia da ciência (notadamente com a metodologia dos programas de pesquisa científica) e à filosofia da matemática, falecendo em 1974.",felipe,sim
F16,Larry Laudan,"Para Laudan, a definição de ciência não existe e o problema da demarcação é um pseudoproblema. Para ele, o foco deveria estar em dividir o conhecimento bem-fundamentado do não-fundamentado, a partir da sua capacidade de resolver problemas e de resistir ao escrutínio.","Para Laudan, o conhecimento não é dividido em ciência e pseudociência, mas sim em bem-fundamentado e não-fundamentado.","LAUDAN, Larry. The demise of the demarcation problem. In: COHEN, R. S.; LAUDAN, L. (Orgs.). Physics, Philosophy and Psychoanalysis. Boston Studies in the Philosophy of Science. Dordrecht: Springer Netherlands, 1983.","Larry Laudan foi um filósofo da ciência estaunidense nascido em 1941, e obteve seu PhD na Universidade de Princeton. Célebre por propor o conceito de tradições de pesquisa, ele focou na dinâmica do progresso científico na eficácia da resolução de problemas práticos e conceituais, e faleceu em 2022.",mariana,nao
F17,Robert Merton,"Para Merton se uma comunidade pratica as normas abaixo, ela está fazendo ciência
1- Comunismo: todos os cientistas terem propriedade dos bens científicos, promovendo a colaboração científica; o sigilo é oposto a essa norma
2- Universalismo: a validade científica deve ser independente dos status sociopolíticos e atributos pessoais de seus participantes
3- Desinteresse: as instituições científicas não atuam para ganho pessoal, mas para benefício científico comum.
4- Ceticismo organizado: as afirmações devem ser submetidas a investigações críticas antes de serem aceitas.","Para Merton se uma comunidade pratica as normas abaixo, ela está fazendo ciência
1- Comunismo
2- Universalismo
3- Desinteresse
4- Ceticismo organizado","MERTON, Robert K. The sociology of science: theoretical and empirical investigations. Chicago: University of Chicago Press, 1973.
https://en.wikipedia.org/wiki/Mertonian_norms","Robert Merton foi um sociólogo estadunidense nascido em 1910 e estudou na Universidade de Harvard. Ele destacou-se por suas contribuições fundamentais à sociologia da ciência e ao desenvolvimento de conceitos como o ""funcionalismo estrutural"", falecendo em 2003.",allan,sim
F18,Massimo Pigliucci,"Para ele, distinguir ciência de pseudociência não é um exercício estéril, mas uma tarefa intelectual e prática urgente para a sociedade contemporânea. Ele rejeita a busca por um critério único e estrito (como a falseabilidade de Karl Popper) para separar a ciência da pseudociência e acredita que a demarcação da ciência é algo bidimensional ao invés de unidimensional, tendo um eixo empirico (se é possivel realizar experimentos) e um eixo teorico (rigor teorico). Ele conclue portanto que a ciência sólida tem ambos requisitos e a pseudociência não tem nenhum dos requisitos.","Acredita que a demarcação da ciência é algo bidimensional ao invés de unidimensional como outras teorias, tendo um eixo empirico e um eixo teorico.","PIGLIUCCI, Massimo; BOUDRY, Maarten (Orgs.). Philosophy of pseudoscience: reconsidering the demarcation problem. Chicago: University of Chicago Press, 2013.","Nasceu em 16 de Janeiro de 1964 em Monrovia, Liberia, hoje tem 62 anos.",anizio,sim
F19,Karl Popper,"Para Popper, o que demarca a ciência não é a procura pela verdade, mas sim a capacidade de uma teoria se desenvolver após falsificações de suas hipóteses. 

Ciência: Uma teoria é científica se for estruturalmente falsificável, ela deve fazer previsões que proíbem a ocorrência de eventos.

Se a teoria resiste às tentativas de falsificação, Popper diz que ela foi corroborada. Se ela falhar no teste, é uma teoria científica refutada/falsa.

Pseudociência: A pseudociência é composta por sistemas que tentam parecer ciência, mas não são passíveis de falsificação porque:
Por serem tão vagos que conseguem explicar qualquer observação possível (ex: Psicanálise de Freud, que, segundo Popper, ""tudo explica, logo nada proíbe"").
Pela utilização de hipóteses ad hoc: quando a teoria falha, seus defensores inventam hipóteses adicionais para manter a teoria (ex: o Marxismo soviético, segundo Popper).

Não Ciência: São disciplinas que não formulam previsões suscetíveis a testes empíricos. ","O critério de demarcação de Popper é a Falsificabilidade.

Um sistema é considerado Ciência se faz previsões arriscadas e possui uma estrutura que permita que suas hipóteses sejam testadas e falsificadas pela experiência. 
É classificado como Pseudociência se tenta imitar a ciência, mas contém premissas vagas ou utiliza hipóteses ad hoc que o tornam impossível de ser falsificado empiricamente. 
Por fim, é Não Ciência se o sistema não tenta prever eventos e, portanto, não possui margem para ser submetido a testes empíricos.",A lógica da pesquisa científica,"Karl Popper foi um filósofo austro-britânico nascido em 1902 e estudou na Universidade de Viena. Ele destacou-se por suas contribuições fundamentais à filosofia da ciência (com o falsificacionismo) e à filosofia política (na defesa da sociedade aberta), falecendo em 1994.",felipe,sim
F20,David Resnik,"Para Resnik, a ciência se baseia nos seguintes critérios fundamentais: testabilidade empírica, coerência lógica, abertura à crítica, reprodutibilidade, honestidade intelectual e transparência metodológica. Seguindo essa ideia, ele afirmou que existem quatro classificações envolvendo o problema da demarcação:
1- Boa ciência: atividades que aderem aos princípios descritos.
2- Ciência Fraca: atividades que tentam aderir aos princípios descritos, mas sofrem com falhas metodológicas, falta de rigor ou viés.
3- Pseudociência: atividades que se propõe científicas mas violam os princípios listados anteriormente.
4- Artes e Humanidades: saberes legítimos com valor próprio, mas que não pretendem ser ciência.","Para Resnik, a ciência deve seguir princípios de testabilidade empírica, coerência lógica, abertura à crítica, reprodutibilidade, honestidade intelectual e transparência metodológica, sendo a partir disso classificada em quatro categorias.","RESNIK, David B. A pragmatic approach to the demarcation problem. Studies in History and Philosophy of Science Part A, v. 31, n. 2, p. 249-267, 2000.","David Resnik é um filósofo e bioeticista estadunidense. Ele obteve seu doutorado na University of North Carolina at Chapel Hill e, ao longo de sua carreira, destaca-se por suas contribuições fundamentais à ética na ciência e à bioética.",mariana,sim
F21,Michael Ruse,"Para Ruse uma ciência deve seguir os seguintes critérios:
1- Ser guiada por leis naturais: a ciência deve explicar o mundo recorrendo a leis naturais e não a milagres ou intervenções divinas
2- Explicar o mundo através das leis: a teoria deve ser capaz de prever consequências dessas leis, explicando fenomenos do mundo real a partir delas
3- Ser testável empiricamente: as afirmações devem ser passíveis de teste no mundo físico
4- Conclusões provisórias: os cientístas devem aceitar que sua teoria pode estar errada, podendo ser substituída no futuro 
5- Falseabilidade: deve existir uma possível observação que, se encontrada, destrua a teoria

Assim, teorias que seguissem esses critérios seriam científicas, as que não seguissem seriam não científicas e, as que, mesmo sendo não científicas, tentassem se passar por científicas seriam pseudo ciência.  ","Para Ruse uma ciência deve seguir os seguintes critérios:
1- Ser guiada por leis naturais
2- Explicar o mundo através das leis
3- Ser testável empiricamente
4- Conclusões provisórias
5- Falseabilidade","RUSE, Michael (ed.). But Is It Science?: The Philosophical Question in the Creation/Evolution Controversy. Amherst: Prometheus Books, 1988.","Michael Ruse foi um filósofo da ciência britânico-canadense nascido em 1940 e estudou na Universidade de Bristol. Ele destacou-se por suas contribuições fundamentais à filosofia da biologia, ao estudo do darwinismo e ao debate entre ciência e religião, falecendo em 2024.",allan,sim
F22,Bertrand Russel,"Para Russell, a ciência não se define pela posse de verdades absolutas, mas por ser o corpo de conhecimento logicamente mais rigoroso e provável, fundamentado na observação empírica e no ceticismo provisório.","Conhecimento provável e logicamente rigoroso, ancorado na observação empírica.","RUSSELL, Bertrand. The scientific outlook. New York, NY: Routledge, 2009.","Um dos pensadores mais influentes do século XX, o britânico Bertrand Russell (1872–1970) construiu sua base acadêmica na Universidade de Cambridge. Seu vasto legado é estrutural para a lógica matemática moderna, para a epistemologia teórica e para a fundação da filosofia analítica.",anizio,nao
F23,Carl Sagan,"Em seu livro, Sagan batiza seu método de ""Kit de Detecção de Balelas"", composto por 9 ferramentas de investigação:
Para ser ciência, o conjunto de ideias deve satisfazer as seguintes condições:

1 - Sempre que possível, deve haver confirmação independente dos ""fatos""
2 - Deve-se incentivar o debate sobre as evidências por defensores bem informados de todos os  pontos de vista.
3 - Argumentos de autoridades têm pouco peso. Talvez seja melhor dizer que, na ciência, não existem autoridades; no máximo, existem especialistas.
4 - Considerar mais de uma hipótese. Pensar em todas as diferentes maneiras pelas quais algo poderia ser explicado. Em seguida, pensar em testes pelos quais você poderia refutar sistematicamente cada uma das alternativas. A hipótese que sobreviver, aquela que resistir à refutação, terá uma chance maior de ser a resposta correta.
5 - Não se apegar demais a uma hipótese só porque ela é sua. Pergunte-se por que você gosta da ideia. Compare-a com alternativas. Procure razões para rejeitá-la. Se você não encontrar, outros conseguirão.
6 - Se é algo quantificável, quantifique. O que é vago e qualitativo está aberto a muitas explicações.
7 - Se existe uma cadeia de argumentação, cada elo dessa cadeia deve funcionar 
8 - A Navalha de Occam. Esta prática diz que, quando confrontados com duas hipóteses que explicam os dados igualmente bem, deve-se escolher a mais simples.
9 - Considere que a hipótese pode ser refutada. Os céticos inveterados devem ter a chance de acompanhar seu raciocínio, de replicar seus experimentos e verificar se chegam ao mesmo resultado.","Para Carl Sagan, a Ciência caracteriza-se pela aplicação do pensamento cético, guiado pelas nove ferramentas do seu ""Kit de Detecção de Balelas"". 
A Pseudociência ocorre quando um conjunto de ideias falha ao satisfazer tais condições, apoiando-se em falácias lógicas e afirmações intestáveis. 
A Não Ciência engloba domínios do conhecimento que sequer se propõem a formular alegações empíricas ou previsões testáveis sobre o mundo.",The demon-haunted world: science as a candle in the dark,"Carl Sagan foi um astrônomo e divulgador científico estadunidense nascido em 1934 e estudou na Universidade de Chicago. Ele destacou-se por suas contribuições fundamentais à ciência planetária, à exobiologia e à promoção do ceticismo científico, falecendo em 1996.",felipe,sim
F24,Vandana Shiva,"Para Shiva, a definição de ciência deve ser pautada no seu impacto social e ecológico. Shiva apoia o pluralismo epistêmico, em que diferentes formas de conhecer são validadas pela sua capacidade de proteger e nutrir a vida. Para ela, os critérios de demarcação tradicionais são uma ferramenta de exclusão para grupos minoritários, denominada ciência reducionista que provoca a destruição da diversidade de pensamentos e de saberes locais em nome de uma universalidade científica (o que ela chama de ""monoculturas da mente"").","Para Shiva, a ciência é o conjunto de saberes com impacto ecológico e social, e os critérios de demarcação tradicionais são uma ferramental de exclusão.","SHIVA, Vandana. Monocultures of the mind: perspectives on biodiversity and biotechnology. London; New York: Zed Books, 1993.","Vandana Shiva é uma física, escritora e ativista ambiental indiana nascida em 1952, e obteve seu doutorado em física quântica pela Universidade de Western Ontario, no Canadá. Ela é uma das principais vozes globais do ecofeminismo, dedicando-se à defesa da biodiversidade e da soberania alimentar.",mariana,sim
