id_materia,campo,materia,subcampo,descricao,responsavel
M31,Saberes Alternativos,"Parapsicologia (Telepatia, Telecinese)",,Disciplina dedicada à investigação de supostos fenômenos paranormais e psíquicos.,felipe
M32,Ciências Humanas,Pedagogia,,"Estuda a educação, focada nos métodos de ensino, na aprendizagem e no desenvolvimento integral do indivíduo",mariana
M33,Ciências Humanas,Política,,"Processo de organização, tomada de decisão e resolução de conflitos em grupos sociais. ",allan
M34,Ciências Humanas,Psicanálise,,É uma abordagem clínica da psicologia voltada para a investigação teórica da psique humana através do inconsciente.,anizio
M35,Ciências Naturais,Química,Química Analítica ,Trata da identificação ou quantificação de espécies ou elementos químicos,felipe
M35,Ciências Naturais,Química,Física - Química ,Estuda os fenômenos químicos sob a ótica dos princípios e leis da física,felipe
M36,Ciências da Saúde,Quiropraxia,,"Estuda o diagnóstico, tratamento e prevenção de distúrbios do sistema neuro-músculo-esquelético, com ênfase no tratamento manual (ajustes da coluna)",mariana
M37,Saberes Alternativos,Religião,,"Conjunto de sistemas de crenças, valores morais, ritos e visões de mundo que conecta a humanidade à espiritualidade ou a forças transcendentais.",allan
M38,Ciências Humanas,Sociologia,,"É a ciência social que estuda a sociedade, padrões de relações sociais, interação social e cultura da vida cotidiana.",anizio
M39,Ciências Humanas,Teologia,,"Estudo crítico e racional sobre o divino, a fé, as religiões e as suas doutrinas. ",felipe
M40,Ciências Exatas,Teoria das Cordas,,"Estuda um modelo teórico da física que propõe que as partículas elementares do universo não são pontos, mas sim minúsculas cordas vibrantes unidimensionais",mariana
M41,Saberes Alternativas,Terraplanismo,,crença que defende que a Terra é um disco plano em vez de um esferoide.,allan
M42,Ciências Naturais,Atomismo,,"Crença de que o universo é composto por somente duas coisas, o átomo e o vazio.",anizio
M43,Ciências Humanas,Criticismo literário,,"O estudo, discussão, avaliação e interpretação da literatura.",felipe
